"country_id","region","code","default_name","name:ar_SA"
"AE","Abu Dhabi",,"Abadilah","العبدلية"
"AE","Abu Dhabi",,"Abu Hayl","أبو هيل"
"AE","Abu Dhabi",,"Abu Zaby","أبوظبي"
"AE","Abu Dhabi",,"Akamiyah","أكامية"
"AE","Abu Dhabi",,"Al Ardiyah","الأرضية"
"AE","Abu Dhabi",,"Al Dharbaniyah","الظربانية"
"AE","Abu Dhabi",,"Al Dhayd","الذيد"
"AE","Abu Dhabi",,"Al Duss","الدوس"
"AE","Abu Dhabi",,"Al Mafraq","المفرق"
"AE","Abu Dhabi",,"Al Marfa","المرفئ"
"AE","Abu Dhabi",,"Al Ruways","الرويس"
"AE","Abu Dhabi",,"Habshan","حبشان"
"AE","Abu Dhabi",,"Mafraq","المفرق"
"AE","Abu Dhabi",,"Sila","السلع"
"AE","Abu Dhabi",,"Suwayhan","سويحان"
"AE","Abu Dhabi",,"Mussafah","مصفح"
"AE","Abu Dhabi",,"Abu Dhabi","أبوظبي"
"AE","Abu Dhabi",,"Buteen","بطين"
"AE","Abu Dhabi",,"Al Maqta","المقطع"
"AE","Abu Dhabi",,"Um Al Nar","أم النار"
"AE","Ajman",,"Ajman City","مدينة عجمان"
"AE","Ajman",,"Al Zahra","الزهرة"
"AE","Ajman",,"Bustan","بستان"
"AE","Ajman",,"Jarf","جرف"
"AE","Ajman",,"Masfut","مصفوط"
"AE","Ajman",,"Mushrif","مشرف"
"AE","Ajman",,"Rashidya","راشيدية"
"AE","Ajman",,"Sweihan","سويحان"
"AE","Al Ain",,"Al Ain City","مدينة العين"
"AE","Al Ain",,"Al Hayr","الحاير"
"AE","Al Ain",,"Rima","ريما"
"AE","Dubai",,"Al Qouz","القوز"
"AE","Dubai",,"Bur Dubai","بر دبي"
"AE","Dubai",,"Deira","ديرة"
"AE","Dubai",,"Dubai","دبي"
"AE","Dubai",,"Shandaghah","شندغة"
"AE","Dubai",,"Dubai Internet City","مدينة دبي للانترنت"
"AE","Dubai",,"Jumeirah","جميرا"
"AE","Dubai",,"Karama","كرامة"
"AE","Dubai",,"Mina Sufooh","مينا الصفوح"
"AE","Dubai",,"Satwa","السطوة"
"AE","Dubai",,"Jebal Ali","جبل علي"
"AE","Dubai",,"Al Ruwaiya","الرويعة"
"AE","Dubai",,"Hatta","حتّا"
"AE","Dubai",,"Ganthoot","غنتوت"
"AE","Fujairah",,"Al Hayl","الهيل"
"AE","Fujairah",,"Kidfa","قدفع"
"AE","Fujairah",,"Qidfa","قدفع"
"AE","Fujairah",,"Furfar","الفرفار"
"AE","Fujairah",,"Ghurfah","الغرفة"
"AE","Fujairah",,"Diba Al Hesn","دبا الحصن"
"AE","Fujairah",,"Diba","دبا"
"AE","Fujairah",,"Diba Al Bay'a","دبا البيعة"
"AE","Fujairah",,"Tarif Kalba","الطريف كلباء"
"AE","Fujairah",,"Masafi","مسافي"
"AE","Fujairah",,"Rughaylat","الرغيلات"
"AE","Fujairah",,"Saqamqam","سكمكم"
"AE","Fujairah",,"Siji","سيجي"
"AE","Fujairah",,"Khawr Fakkan","خور فكان"
"AE","Fujairah",,"Khawr Kalba","خور كلباء"
"AE","Fujairah",,"Hassan Dibba","دبا الحصن"
"AE","Fujairah",,"Kalba","كلباء"
"AE","Fujairah",,"Fujairah","الفجيرة"
"AE","Ras Al Khaimah",,"Al Jazirah","الجزيرة"
"AE","Ras Al Khaimah",,"Khawr Khuwayr","خور خوير"
"AE","Ras Al Khaimah",,"Khatt","خت"
"AE","Ras Al Khaimah",,"Al Sha'M","شعم"
"AE","Ras Al Khaimah",,"Awanat","عونات"
"AE","Ras Al Khaimah",,"Sham","شعم"
"AE","Ras Al Khaimah",,"Adhan","ادهان"
"AE","Ras Al Khaimah",,"Al Fulayyah","الفولية"
"AE","Ras Al Khaimah",,"Al Hamraniyah","الحمرية"
"AE","Ras Al Khaimah",,"Al Manamah","المنارة"
"AE","Ras Al Khaimah",,"Al Rams","الرمس"
"AE","Ras Al Khaimah",,"Al Jazirah Al Hamra","الجزيرة الحمراء"
"AE","Ras Al Khaimah",,"Masafi","مسافي"
"AE","Ras Al Khaimah",,"Kharran","الخران"
"AE","Ras Al Khaimah",,"Nakheel","نخيل"
"AE","Ras Al Khaimah",,"Ras Al Khaimah city","مدينة رأس الخيمة"
"AE","Sharjah",,"Al Khashfah","الخشفة"
"AE","Sharjah",,"Hamariya","الحمرية"
"AE","Sharjah",,"Ramlah","رملة"
"AE","Sharjah",,"Saabah","صاباح"
"AE","Sharjah",,"Wasit","واسط"
"AE","Sharjah",,"Wadi Shi","وادي شي"
"AE","Sharjah",,"Masafi","مسافي"
"AE","Sharjah",,"Yarmook","يرموك"
"AE","Sharjah",,"Sherqan","شرقان"
"AE","Sharjah",,"Umm Kanoor","أم خانور"
"AE","Sharjah",,"Saif","صافي"
"AE","Sharjah",,"Samnan","سمنان"
"AE","Sharjah",,"Shahba","شحبا"
"AE","Sharjah",,"Rolla","رولة"
"AE","Sharjah",,"Ramaqiya","الرماقية"
"AE","Sharjah",,"Ramtha","رمثة"
"AE","Sharjah",,"Nabbah","النبًا"
"AE","Sharjah",,"Nakheelat","نخيلات"
"AE","Sharjah",,"Nasariya","الناصرية"
"AE","Sharjah",,"Qasimiya","القاسمية"
"AE","Sharjah",,"Abu Shagara","أبو شغارة"
"AE","Sharjah",,"Al Azrah","العذراء"
"AE","Sharjah",,"Al Fahiya","الفيحاء"
"AE","Sharjah",,"Al Khan","الخان"
"AE","Sharjah",,"Al Falaj","الفلج"
"AE","Sharjah",,"Al Hamriyah","الحمرية"
"AE","Sharjah",,"Al Manakh","المناخ"
"AE","Sharjah",,"Al Qazimiya","القاسمية"
"AE","Sharjah",,"Al Rafa'ah","الرفاعة"
"AE","Sharjah",,"Ghafia","الغافية"
"AE","Sharjah",,"Ghubaiba","الغبيبة"
"AE","Sharjah",,"Dasman","دسمان"
"AE","Sharjah",,"Dhaid","الذيد"
"AE","Sharjah",,"Al Tawoon","التعاون"
"AE","Sharjah",,"Al Wasit","الواسيط"
"AE","Sharjah",,"Badiyah","البادية"
"AE","Sharjah",,"Buteena","بطينة"
"AE","Sharjah",,"Jazzat","جازات"
"AE","Sharjah",,"Khannur","خانور"
"AE","Sharjah",,"Kharayan","كارايان"
"AE","Sharjah",,"Layyah","اللية"
"AE","Sharjah",,"Maisaloon","ميسلون"
"AE","Sharjah",,"Majjarah","مجرة"
"AE","Sharjah",,"Mansoora","منصورة"
"AE","Sharjah",,"Muwafja","موافجة"
"AE","Sharjah",,"Sharjah","الشارقة"
"AE","Umm Al Quwain",,"Umm Al Quiwan","أم القيوين"
"AE","Umm Al Quwain",,"Falaj Al Mulla","فلج المعلا"
